date,customer_id,loan_id,loan_amount,cumulative_repayment,cumulative_interest,cumulative_paid,outstanding_balance,days_in_arrears,status,utilization (%),DPD_bucket,risk_band
2025-09-19,C006,L006,10288,5260,518,4742,5546,1,late,53.91,1–30 DPD,Low
2025-09-20,C006,L006,10288,5543,546,4997,5291,0,current,51.43,Current,Low
2025-09-21,C006,L006,10288,5684,560,5124,5164,0,current,50.19,Current,Low
2025-09-22,C006,L006,10288,5982,589,5393,4895,0,current,47.58,Current,Low
2025-09-23,C006,L006,10288,6163,607,5556,4732,0,current,46,Current,Low
2025-09-24,C006,L006,10288,6163,607,5556,4732,1,late,46,1–30 DPD,Low
2025-09-25,C006,L006,10288,6560,646,5914,4374,0,current,42.52,Current,Low
2025-09-26,C006,L006,10288,6852,675,6177,4111,0,current,39.96,Current,Low
2025-09-27,C006,L006,10288,6852,675,6177,4111,1,late,39.96,1–30 DPD,Low
2025-09-28,C006,L006,10288,7298,719,6579,3709,0,current,36.05,Current,Low
2025-09-29,C006,L006,10288,7732,762,6970,3318,0,current,32.25,Current,Low
2025-09-30,C006,L006,10288,7732,762,6970,3318,1,late,32.25,1–30 DPD,Low
2025-10-01,C006,L006,10288,8018,790,7228,3060,0,current,29.74,Current,Low
2025-10-02,C006,L006,10288,8319,820,7499,2789,0,current,27.11,Current,Low
2025-10-03,C006,L006,10288,8740,862,7878,2410,0,current,23.43,Current,Low
2025-10-04,C006,L006,10288,8740,862,7878,2410,1,late,23.43,1–30 DPD,Low
2025-10-05,C006,L006,10288,9045,892,8153,2135,0,current,20.75,Current,Low
2025-10-06,C006,L006,10288,9157,903,8254,2034,0,current,19.77,Current,Low
2025-10-07,C006,L006,10288,9631,950,8681,1607,0,current,15.62,Current,Low
2025-10-08,C006,L006,10288,10004,987,9017,1271,0,current,12.35,Current,Low
2025-10-09,C006,L006,10288,10004,987,9017,1271,1,late,12.35,1–30 DPD,Low
2025-10-10,C006,L006,10288,10349,1021,9328,960,0,current,9.33,Current,Low
2025-10-11,C006,L006,10288,10349,1021,9328,960,1,late,9.33,1–30 DPD,Low
2025-10-12,C006,L006,10288,10756,1061,9695,593,0,current,5.76,Current,Low
2025-10-13,C006,L006,10288,10980,1083,9897,391,0,current,3.8,Current,Low
2025-10-14,C006,L006,10288,10980,1083,9897,391,1,late,3.8,1–30 DPD,Low
2025-10-15,C006,L006,10288,11470,1132,10338,0,0,current,0,Current,Low
2025-10-16,C006,L006,10288,11576,1142,10434,0,0,current,0,Current,Low
2025-10-17,C006,L006,10288,11858,1170,10688,0,0,current,0,Current,Low
2025-10-18,C006,L006,10288,12082,1192,10890,0,0,current,0,Current,Low
2025-10-19,C006,L006,10288,12082,1192,10890,0,1,late,0,1–30 DPD,Low
2025-10-20,C006,L006,10288,12361,1219,11142,0,0,current,0,Current,Low
2025-10-21,C006,L006,10288,12467,1229,11238,0,0,current,0,Current,Low
2025-10-22,C006,L006,10288,12467,1229,11238,0,1,late,0,1–30 DPD,Low
2025-10-23,C006,L006,10288,12728,1255,11473,0,0,current,0,Current,Low
2025-10-24,C006,L006,10288,13025,1284,11741,0,0,current,0,Current,Low
2025-10-25,C006,L006,10288,13025,1284,11741,0,1,late,0,1–30 DPD,Low
2025-10-26,C006,L006,10288,13277,1309,11968,0,0,current,0,Current,Low
2025-10-27,C006,L006,10288,13770,1358,12412,0,0,current,0,Current,Low
2025-10-28,C006,L006,10288,14117,1392,12725,0,0,current,0,Current,Low
2025-10-29,C006,L006,10288,14362,1416,12946,0,0,current,0,Current,Low
2025-10-30,C006,L006,10288,14362,1416,12946,0,1,late,0,1–30 DPD,Low
2025-09-01,C007,L007,10843,299,29,270,10573,0,current,97.51,Current,High
2025-09-02,C007,L007,10843,299,29,270,10573,1,late,97.51,1–30 DPD,High
2025-09-03,C007,L007,10843,630,62,568,10275,0,current,94.76,Current,High
2025-09-04,C007,L007,10843,630,62,568,10275,1,late,94.76,1–30 DPD,High
2025-09-05,C007,L007,10843,934,92,842,10001,0,current,92.23,Current,High
2025-09-06,C007,L007,10843,934,92,842,10001,1,late,92.23,1–30 DPD,High
2025-09-07,C007,L007,10843,1343,132,1211,9632,0,current,88.83,Current,Medium
2025-09-08,C007,L007,10843,1808,178,1630,9213,0,current,84.97,Current,Medium
2025-09-09,C007,L007,10843,2170,214,1956,8887,0,current,81.96,Current,Medium
2025-09-10,C007,L007,10843,2539,250,2289,8554,0,current,78.89,Current,Medium
2025-09-11,C007,L007,10843,2707,266,2441,8402,0,current,77.49,Current,Medium
2025-09-12,C007,L007,10843,2707,266,2441,8402,1,late,77.49,1–30 DPD,Medium
2025-09-13,C007,L007,10843,3149,310,2839,8004,0,current,73.82,Current,Medium
2025-09-14,C007,L007,10843,3317,326,2991,7852,0,current,72.42,Current,Medium
2025-09-15,C007,L007,10843,3728,367,3361,7482,0,current,69,Current,Low
2025-09-16,C007,L007,10843,4029,397,3632,7211,0,current,66.5,Current,Low
2025-09-17,C007,L007,10843,4481,442,4039,6804,0,current,62.75,Current,Low
2025-09-18,C007,L007,10843,4806,474,4332,6511,0,current,60.05,Current,Low
2025-09-19,C007,L007,10843,4993,492,4501,6342,0,current,58.49,Current,Low
2025-09-20,C007,L007,10843,5349,527,4822,6021,0,current,55.53,Current,Low
2025-09-21,C007,L007,10843,5799,572,5227,5616,0,current,51.79,Current,Low
2025-09-22,C007,L007,10843,5993,591,5402,5441,0,current,50.18,Current,Low
2025-09-23,C007,L007,10843,5993,591,5402,5441,1,late,50.18,1–30 DPD,Low
2025-09-24,C007,L007,10843,6462,637,5825,5018,0,current,46.28,Current,Low
2025-09-25,C007,L007,10843,6707,661,6046,4797,0,current,44.24,Current,Low
2025-09-26,C007,L007,10843,6984,688,6296,4547,0,current,41.93,Current,Low
2025-09-27,C007,L007,10843,6984,688,6296,4547,1,late,41.93,1–30 DPD,Low
2025-09-28,C007,L007,10843,6984,688,6296,4547,2,late,41.93,1–30 DPD,Low
2025-09-29,C007,L007,10843,6984,688,6296,4547,3,late,41.93,1–30 DPD,Low
2025-09-30,C007,L007,10843,7375,727,6648,4195,2,late,38.69,1–30 DPD,Low
2025-10-01,C007,L007,10843,7800,769,7031,3812,1,late,35.16,1–30 DPD,Low
2025-10-02,C007,L007,10843,8213,810,7403,3440,0,current,31.73,Current,Low
2025-10-03,C007,L007,10843,8213,810,7403,3440,1,late,31.73,1–30 DPD,Low
2025-10-04,C007,L007,10843,8546,843,7703,3140,0,current,28.96,Current,Low
2025-10-05,C007,L007,10843,8661,854,7807,3036,0,current,28,Current,Low
2025-10-06,C007,L007,10843,8957,883,8074,2769,0,current,25.54,Current,Low
2025-10-07,C007,L007,10843,9337,921,8416,2427,0,current,22.38,Current,Low
2025-10-08,C007,L007,10843,9529,940,8589,2254,0,current,20.79,Current,Low
2025-10-09,C007,L007,10843,9682,955,8727,2116,0,current,19.51,Current,Low
2025-10-10,C007,L007,10843,9682,955,8727,2116,1,late,19.51,1–30 DPD,Low
2025-10-11,C007,L007,10843,10085,995,9090,1753,0,current,16.17,Current,Low
2025-10-12,C007,L007,10843,10266,1013,9253,1590,0,current,14.66,Current,Low
2025-10-13,C007,L007,10843,10266,1013,9253,1590,1,late,14.66,1–30 DPD,Low
2025-10-14,C007,L007,10843,10266,1013,9253,1590,2,late,14.66,1–30 DPD,Low
2025-10-15,C007,L007,10843,10624,1048,9576,1267,1,late,11.68,1–30 DPD,Low
2025-10-16,C007,L007,10843,10624,1048,9576,1267,2,late,11.68,1–30 DPD,Low
2025-10-17,C007,L007,10843,10624,1048,9576,1267,3,late,11.68,1–30 DPD,Low
2025-10-18,C007,L007,10843,10910,1076,9834,1009,2,late,9.31,1–30 DPD,Low
2025-10-19,C007,L007,10843,11059,1090,9969,874,1,late,8.06,1–30 DPD,Low
2025-10-20,C007,L007,10843,11177,1101,10076,767,0,current,7.07,Current,Low
2025-10-21,C007,L007,10843,11177,1101,10076,767,1,late,7.07,1–30 DPD,Low
2025-10-22,C007,L007,10843,11666,1149,10517,326,0,current,3.01,Current,Low
2025-10-23,C007,L007,10843,11666,1149,10517,326,1,late,3.01,1–30 DPD,Low
2025-10-24,C007,L007,10843,12058,1188,10870,0,0,current,0,Current,Low
2025-10-25,C007,L007,10843,12200,1202,10998,0,0,current,0,Current,Low
2025-10-26,C007,L007,10843,12200,1202,10998,0,1,late,0,1–30 DPD,Low
2025-10-27,C007,L007,10843,12417,1223,11194,0,0,current,0,Current,Low
2025-10-28,C007,L007,10843,12417,1223,11194,0,1,late,0,1–30 DPD,Low
2025-10-29,C007,L007,10843,12534,1234,11300,0,0,current,0,Current,Low
2025-10-30,C007,L007,10843,12534,1234,11300,0,1,late,0,1–30 DPD,Low
2025-09-01,C008,L008,13981,0,0,0,13981,1,late,100,1–30 DPD,High
2025-09-02,C008,L008,13981,0,0,0,13981,2,late,100,1–30 DPD,High
2025-09-03,C008,L008,13981,186,18,168,13813,1,late,98.8,1–30 DPD,High
2025-09-04,C008,L008,13981,360,35,325,13656,0,current,97.68,Current,High
2025-09-05,C008,L008,13981,839,82,757,13224,0,current,94.59,Current,High
2025-09-06,C008,L008,13981,1329,131,1198,12783,0,current,91.43,Current,High
2025-09-07,C008,L008,13981,1794,177,1617,12364,0,current,88.43,Current,Medium
2025-09-08,C008,L008,13981,2259,223,2036,11945,0,current,85.44,Current,Medium
2025-09-09,C008,L008,13981,2259,223,2036,11945,1,late,85.44,1–30 DPD,Medium
2025-09-10,C008,L008,13981,2740,271,2469,11512,0,current,82.34,Current,Medium
2025-09-11,C008,L008,13981,2740,271,2469,11512,1,late,82.34,1–30 DPD,Medium
2025-09-12,C008,L008,13981,2740,271,2469,11512,2,late,82.34,1–30 DPD,Medium
2025-09-13,C008,L008,13981,2740,271,2469,11512,3,late,82.34,1–30 DPD,Medium
2025-09-14,C008,L008,13981,2740,271,2469,11512,4,late,82.34,1–30 DPD,Medium
2025-09-15,C008,L008,13981,2740,271,2469,11512,5,late,82.34,1–30 DPD,Medium
2025-09-16,C008,L008,13981,3123,309,2814,11167,4,late,79.87,1–30 DPD,Medium
2025-09-17,C008,L008,13981,3315,328,2987,10994,3,late,78.64,1–30 DPD,Medium
2025-09-18,C008,L008,13981,3586,355,3231,10750,2,late,76.89,1–30 DPD,Medium
2025-09-19,C008,L008,13981,3973,393,3580,10401,1,late,74.39,1–30 DPD,Medium
2025-09-20,C008,L008,13981,4122,407,3715,10266,0,current,73.43,Current,Medium
2025-09-21,C008,L008,13981,4572,452,4120,9861,0,current,70.53,Current,Medium
2025-09-22,C008,L008,13981,4572,452,4120,9861,1,late,70.53,1–30 DPD,Medium
2025-09-23,C008,L008,13981,4572,452,4120,9861,2,late,70.53,1–30 DPD,Medium
2025-09-24,C008,L008,13981,4572,452,4120,9861,3,late,70.53,1–30 DPD,Medium
2025-09-25,C008,L008,13981,4572,452,4120,9861,4,late,70.53,1–30 DPD,Medium
2025-09-26,C008,L008,13981,4572,452,4120,9861,5,late,70.53,1–30 DPD,Medium
2025-09-27,C008,L008,13981,4757,470,4287,9694,4,late,69.34,1–30 DPD,Low
2025-09-28,C008,L008,13981,4757,470,4287,9694,5,late,69.34,1–30 DPD,Low
2025-09-29,C008,L008,13981,4757,470,4287,9694,6,late,69.34,1–30 DPD,Low
2025-09-30,C008,L008,13981,5012,495,4517,9464,5,late,67.69,1–30 DPD,Low
2025-10-01,C008,L008,13981,5012,495,4517,9464,6,late,67.69,1–30 DPD,Low
2025-10-02,C008,L008,13981,5158,509,4649,9332,5,late,66.75,1–30 DPD,Low
2025-10-03,C008,L008,13981,5545,547,4998,8983,4,late,64.25,1–30 DPD,Low
2025-10-04,C008,L008,13981,5949,587,5362,8619,3,late,61.65,1–30 DPD,Low
2025-10-05,C008,L008,13981,5949,587,5362,8619,4,late,61.65,1–30 DPD,Low
2025-10-06,C008,L008,13981,5949,587,5362,8619,5,late,61.65,1–30 DPD,Low
2025-10-07,C008,L008,13981,6239,616,5623,8358,4,late,59.78,1–30 DPD,Low
2025-10-08,C008,L008,13981,6239,616,5623,8358,5,late,59.78,1–30 DPD,Low
2025-10-09,C008,L008,13981,6569,649,5920,8061,4,late,57.66,1–30 DPD,Low
2025-10-10,C008,L008,13981,6973,689,6284,7697,3,late,55.05,1–30 DPD,Low
2025-10-11,C008,L008,13981,7150,706,6444,7537,2,late,53.91,1–30 DPD,Low
2025-10-12,C008,L008,13981,7519,742,6777,7204,1,late,51.53,1–30 DPD,Low
2025-10-13,C008,L008,13981,7677,757,6920,7061,0,current,50.5,Current,Low
2025-10-14,C008,L008,13981,7886,777,7109,6872,0,current,49.15,Current,Low
2025-10-15,C008,L008,13981,7886,777,7109,6872,1,late,49.15,1–30 DPD,Low
2025-10-16,C008,L008,13981,8340,822,7518,6463,0,current,46.23,Current,Low
2025-10-17,C008,L008,13981,8340,822,7518,6463,1,late,46.23,1–30 DPD,Low
2025-10-18,C008,L008,13981,8601,848,7753,6228,0,current,44.55,Current,Low
2025-10-19,C008,L008,13981,9062,894,8168,5813,0,current,41.58,Current,Low
2025-10-20,C008,L008,13981,9062,894,8168,5813,1,late,41.58,1–30 DPD,Low
2025-10-21,C008,L008,13981,9440,931,8509,5472,0,current,39.14,Current,Low
2025-10-22,C008,L008,13981,9863,973,8890,5091,0,current,36.41,Current,Low
2025-10-23,C008,L008,13981,10196,1006,9190,4791,0,current,34.27,Current,Low
2025-10-24,C008,L008,13981,10480,1034,9446,4535,0,current,32.44,Current,Low
2025-10-25,C008,L008,13981,10971,1083,9888,4093,0,current,29.28,Current,Low
2025-10-26,C008,L008,13981,11415,1127,10288,3693,0,current,26.41,Current,Low
2025-10-27,C008,L008,13981,11630,1148,10482,3499,0,current,25.03,Current,Low
2025-10-28,C008,L008,13981,12121,1197,10924,3057,0,current,21.87,Current,Low
2025-10-29,C008,L008,13981,12121,1197,10924,3057,1,late,21.87,1–30 DPD,Low
2025-10-30,C008,L008,13981,12393,1224,11169,2812,0,current,20.11,Current,Low
2025-09-01,C009,L009,8052,257,25,232,7820,0,current,97.12,Current,High
2025-09-02,C009,L009,8052,446,43,403,7649,0,current,95,Current,High
2025-09-03,C009,L009,8052,551,53,498,7554,0,current,93.82,Current,High
2025-09-04,C009,L009,8052,1008,98,910,7142,0,current,88.7,Current,Medium
2025-09-05,C009,L009,8052,1145,111,1034,7018,0,current,87.16,Current,Medium
2025-09-06,C009,L009,8052,1629,159,1470,6582,0,current,81.74,Current,Medium
2025-09-07,C009,L009,8052,1629,159,1470,6582,1,late,81.74,1–30 DPD,Medium
2025-09-08,C009,L009,8052,2065,202,1863,6189,0,current,76.86,Current,Medium
2025-09-09,C009,L009,8052,2065,202,1863,6189,1,late,76.86,1–30 DPD,Medium
2025-09-10,C009,L009,8052,2363,231,2132,5920,0,current,73.52,Current,Medium
2025-09-11,C009,L009,8052,2654,260,2394,5658,0,current,70.27,Current,Medium
2025-09-12,C009,L009,8052,3074,302,2772,5280,0,current,65.57,Current,Low
2025-09-13,C009,L009,8052,3226,317,2909,5143,0,current,63.87,Current,Low
2025-09-14,C009,L009,8052,3226,317,2909,5143,1,late,63.87,1–30 DPD,Low
2025-09-15,C009,L009,8052,3641,358,3283,4769,0,current,59.23,Current,Low
2025-09-16,C009,L009,8052,3919,385,3534,4518,0,current,56.11,Current,Low
2025-09-17,C009,L009,8052,3919,385,3534,4518,1,late,56.11,1–30 DPD,Low
2025-09-18,C009,L009,8052,4411,434,3977,4075,0,current,50.61,Current,Low
2025-09-19,C009,L009,8052,4511,444,4067,3985,0,current,49.49,Current,Low
2025-09-20,C009,L009,8052,4739,466,4273,3779,0,current,46.93,Current,Low
2025-09-21,C009,L009,8052,4739,466,4273,3779,1,late,46.93,1–30 DPD,Low
2025-09-22,C009,L009,8052,4851,477,4374,3678,0,current,45.68,Current,Low
2025-09-23,C009,L009,8052,4851,477,4374,3678,1,late,45.68,1–30 DPD,Low
2025-09-24,C009,L009,8052,4954,487,4467,3585,0,current,44.52,Current,Low
2025-09-25,C009,L009,8052,4954,487,4467,3585,1,late,44.52,1–30 DPD,Low
2025-09-26,C009,L009,8052,4954,487,4467,3585,2,late,44.52,1–30 DPD,Low
2025-09-27,C009,L009,8052,5289,520,4769,3283,1,late,40.77,1–30 DPD,Low
2025-09-28,C009,L009,8052,5509,542,4967,3085,0,current,38.31,Current,Low
2025-09-29,C009,L009,8052,5763,567,5196,2856,0,current,35.47,Current,Low
2025-09-30,C009,L009,8052,6001,590,5411,2641,0,current,32.8,Current,Low
2025-10-01,C009,L009,8052,6487,638,5849,2203,0,current,27.36,Current,Low
2025-10-02,C009,L009,8052,6487,638,5849,2203,1,late,27.36,1–30 DPD,Low
2025-10-03,C009,L009,8052,6487,638,5849,2203,2,late,27.36,1–30 DPD,Low
2025-10-04,C009,L009,8052,6685,657,6028,2024,1,late,25.14,1–30 DPD,Low
2025-10-05,C009,L009,8052,7118,700,6418,1634,0,current,20.29,Current,Low
2025-10-06,C009,L009,8052,7446,732,6714,1338,0,current,16.62,Current,Low
2025-10-07,C009,L009,8052,7605,747,6858,1194,0,current,14.83,Current,Low
2025-10-08,C009,L009,8052,7605,747,6858,1194,1,late,14.83,1–30 DPD,Low
2025-10-09,C009,L009,8052,7766,763,7003,1049,0,current,13.03,Current,Low
2025-10-10,C009,L009,8052,7766,763,7003,1049,1,late,13.03,1–30 DPD,Low
2025-10-11,C009,L009,8052,7766,763,7003,1049,2,late,13.03,1–30 DPD,Low
2025-10-12,C009,L009,8052,7766,763,7003,1049,3,late,13.03,1–30 DPD,Low
2025-10-13,C009,L009,8052,8008,787,7221,831,2,late,10.32,1–30 DPD,Low
2025-10-14,C009,L009,8052,8220,808,7412,640,1,late,7.95,1–30 DPD,Low
2025-10-15,C009,L009,8052,8702,856,7846,206,0,current,2.56,Current,Low
2025-10-16,C009,L009,8052,8855,871,7984,68,0,current,0.84,Current,Low
2025-10-17,C009,L009,8052,8855,871,7984,68,1,late,0.84,1–30 DPD,Low
2025-10-18,C009,L009,8052,9106,896,8210,0,0,current,0,Current,Low
2025-10-19,C009,L009,8052,9423,927,8496,0,0,current,0,Current,Low
2025-10-20,C009,L009,8052,9724,957,8767,0,0,current,0,Current,Low
2025-10-21,C009,L009,8052,9987,983,9004,0,0,current,0,Current,Low
2025-10-22,C009,L009,8052,10188,1003,9185,0,0,current,0,Current,Low
2025-10-23,C009,L009,8052,10452,1029,9423,0,0,current,0,Current,Low
2025-10-24,C009,L009,8052,10645,1048,9597,0,0,current,0,Current,Low
2025-10-25,C009,L009,8052,10645,1048,9597,0,1,late,0,1–30 DPD,Low
2025-10-26,C009,L009,8052,11139,1097,10042,0,0,current,0,Current,Low
2025-10-27,C009,L009,8052,11289,1112,10177,0,0,current,0,Current,Low
2025-10-28,C009,L009,8052,11410,1124,10286,0,0,current,0,Current,Low
2025-10-29,C009,L009,8052,11629,1145,10484,0,0,current,0,Current,Low
2025-10-30,C009,L009,8052,11629,1145,10484,0,1,late,0,1–30 DPD,Low
2025-09-01,C010,L010,19890,263,26,237,19653,0,current,98.81,Current,High
2025-09-02,C010,L010,19890,722,71,651,19239,0,current,96.73,Current,High
2025-09-03,C010,L010,19890,1185,117,1068,18822,0,current,94.63,Current,High
2025-09-04,C010,L010,19890,1563,154,1409,18481,0,current,92.92,Current,High
2025-09-05,C010,L010,19890,1691,166,1525,18365,0,current,92.33,Current,High
2025-09-06,C010,L010,19890,1846,181,1665,18225,0,current,91.63,Current,High
2025-09-07,C010,L010,19890,1846,181,1665,18225,1,late,91.63,1–30 DPD,High
2025-09-08,C010,L010,19890,2265,222,2043,17847,0,current,89.73,Current,Medium
2025-09-09,C010,L010,19890,2763,271,2492,17398,0,current,87.47,Current,Medium
2025-09-10,C010,L010,19890,3010,295,2715,17175,0,current,86.35,Current,Medium
2025-09-11,C010,L010,19890,3143,308,2835,17055,0,current,85.75,Current,Medium
2025-09-12,C010,L010,19890,3618,355,3263,16627,0,current,83.59,Current,Medium
2025-09-13,C010,L010,19890,3933,386,3547,16343,0,current,82.17,Current,Medium
2025-09-14,C010,L010,19890,4271,419,3852,16038,0,current,80.63,Current,Medium
2025-09-15,C010,L010,19890,4271,419,3852,16038,1,late,80.63,1–30 DPD,Medium
2025-09-16,C010,L010,19890,4271,419,3852,16038,2,late,80.63,1–30 DPD,Medium
2025-09-17,C010,L010,19890,4271,419,3852,16038,3,late,80.63,1–30 DPD,Medium
2025-09-18,C010,L010,19890,4271,419,3852,16038,4,late,80.63,1–30 DPD,Medium
2025-09-19,C010,L010,19890,4585,450,4135,15755,3,late,79.21,1–30 DPD,Medium
2025-09-20,C010,L010,19890,4973,488,4485,15405,2,late,77.45,1–30 DPD,Medium
2025-09-21,C010,L010,19890,4973,488,4485,15405,3,late,77.45,1–30 DPD,Medium
2025-09-22,C010,L010,19890,5228,513,4715,15175,2,late,76.29,1–30 DPD,Medium
2025-09-23,C010,L010,19890,5624,552,5072,14818,1,late,74.5,1–30 DPD,Medium
2025-09-24,C010,L010,19890,5790,568,5222,14668,0,current,73.75,Current,Medium
2025-09-25,C010,L010,19890,6206,609,5597,14293,0,current,71.86,Current,Medium
2025-09-26,C010,L010,19890,6689,657,6032,13858,0,current,69.67,Current,Low
2025-09-27,C010,L010,19890,6689,657,6032,13858,1,late,69.67,1–30 DPD,Low
2025-09-28,C010,L010,19890,6689,657,6032,13858,2,late,69.67,1–30 DPD,Low
2025-09-29,C010,L010,19890,7027,690,6337,13553,1,late,68.14,1–30 DPD,Low
2025-09-30,C010,L010,19890,7144,701,6443,13447,0,current,67.61,Current,Low
2025-10-01,C010,L010,19890,7335,720,6615,13275,0,current,66.74,Current,Low
2025-10-02,C010,L010,19890,7721,758,6963,12927,0,current,64.99,Current,Low
2025-10-03,C010,L010,19890,7948,780,7168,12722,0,current,63.96,Current,Low
2025-10-04,C010,L010,19890,8340,819,7521,12369,0,current,62.19,Current,Low
2025-10-05,C010,L010,19890,8784,863,7921,11969,0,current,60.18,Current,Low
2025-10-06,C010,L010,19890,9061,890,8171,11719,0,current,58.92,Current,Low
2025-10-07,C010,L010,19890,9540,937,8603,11287,0,current,56.75,Current,Low
2025-10-08,C010,L010,19890,9540,937,8603,11287,1,late,56.75,1–30 DPD,Low
2025-10-09,C010,L010,19890,9670,950,8720,11170,0,current,56.16,Current,Low
2025-10-10,C010,L010,19890,9830,966,8864,11026,0,current,55.43,Current,Low
2025-10-11,C010,L010,19890,9830,966,8864,11026,1,late,55.43,1–30 DPD,Low
2025-10-12,C010,L010,19890,10205,1003,9202,10688,0,current,53.74,Current,Low
2025-10-13,C010,L010,19890,10205,1003,9202,10688,1,late,53.74,1–30 DPD,Low
2025-10-14,C010,L010,19890,10591,1041,9550,10340,0,current,51.99,Current,Low
2025-10-15,C010,L010,19890,10591,1041,9550,10340,1,late,51.99,1–30 DPD,Low
2025-10-16,C010,L010,19890,10780,1059,9721,10169,0,current,51.13,Current,Low
2025-10-17,C010,L010,19890,11107,1091,10016,9874,0,current,49.64,Current,Low
2025-10-18,C010,L010,19890,11222,1102,10120,9770,0,current,49.12,Current,Low
2025-10-19,C010,L010,19890,11222,1102,10120,9770,1,late,49.12,1–30 DPD,Low
2025-10-20,C010,L010,19890,11506,1130,10376,9514,0,current,47.83,Current,Low
2025-10-21,C010,L010,19890,11879,1167,10712,9178,0,current,46.14,Current,Low
2025-10-22,C010,L010,19890,12123,1191,10932,8958,0,current,45.04,Current,Low
2025-10-23,C010,L010,19890,12223,1201,11022,8868,0,current,44.59,Current,Low
2025-10-24,C010,L010,19890,12223,1201,11022,8868,1,late,44.59,1–30 DPD,Low
2025-10-25,C010,L010,19890,12568,1235,11333,8557,0,current,43.02,Current,Low
2025-10-26,C010,L010,19890,13026,1280,11746,8144,0,current,40.95,Current,Low
2025-10-27,C010,L010,19890,13159,1293,11866,8024,0,current,40.34,Current,Low
2025-10-28,C010,L010,19890,13159,1293,11866,8024,1,late,40.34,1–30 DPD,Low
2025-10-29,C010,L010,19890,13581,1335,12246,7644,0,current,38.43,Current,Low
2025-10-30,C010,L010,19890,13730,1349,12381,7509,0,current,37.75,Current,Low
2025-09-01,C011,L011,5924,0,0,0,5924,1,late,100,1–30 DPD,High
2025-09-02,C011,L011,5924,0,0,0,5924,2,late,100,1–30 DPD,High
2025-09-03,C011,L011,5924,369,36,333,5591,1,late,94.38,1–30 DPD,High
2025-09-04,C011,L011,5924,369,36,333,5591,2,late,94.38,1–30 DPD,High
2025-09-05,C011,L011,5924,511,50,461,5463,1,late,92.22,1–30 DPD,High
2025-09-06,C011,L011,5924,511,50,461,5463,2,late,92.22,1–30 DPD,High
2025-09-07,C011,L011,5924,863,85,778,5146,1,late,86.87,1–30 DPD,Medium
2025-09-08,C011,L011,5924,1180,116,1064,4860,0,current,82.04,Current,Medium
2025-09-09,C011,L011,5924,1500,148,1352,4572,0,current,77.18,Current,Medium
2025-09-10,C011,L011,5924,1500,148,1352,4572,1,late,77.18,1–30 DPD,Medium
2025-09-11,C011,L011,5924,1500,148,1352,4572,2,late,77.18,1–30 DPD,Medium
2025-09-12,C011,L011,5924,1982,196,1786,4138,1,late,69.85,1–30 DPD,Low
2025-09-13,C011,L011,5924,2430,240,2190,3734,0,current,63.03,Current,Low
2025-09-14,C011,L011,5924,2430,240,2190,3734,1,late,63.03,1–30 DPD,Low
2025-09-15,C011,L011,5924,2430,240,2190,3734,2,late,63.03,1–30 DPD,Low
2025-09-16,C011,L011,5924,2850,282,2568,3356,1,late,56.65,1–30 DPD,Low
2025-09-17,C011,L011,5924,2850,282,2568,3356,2,late,56.65,1–30 DPD,Low
2025-09-18,C011,L011,5924,3061,303,2758,3166,1,late,53.44,1–30 DPD,Low
2025-09-19,C011,L011,5924,3437,340,3097,2827,0,current,47.72,Current,Low
2025-09-20,C011,L011,5924,3437,340,3097,2827,1,late,47.72,1–30 DPD,Low
2025-09-21,C011,L011,5924,3767,373,3394,2530,0,current,42.71,Current,Low
2025-09-22,C011,L011,5924,4075,403,3672,2252,0,current,38.01,Current,Low
2025-09-23,C011,L011,5924,4075,403,3672,2252,1,late,38.01,1–30 DPD,Low
2025-09-24,C011,L011,5924,4075,403,3672,2252,2,late,38.01,1–30 DPD,Low
2025-09-25,C011,L011,5924,4330,428,3902,2022,1,late,34.13,1–30 DPD,Low
2025-09-26,C011,L011,5924,4829,477,4352,1572,0,current,26.54,Current,Low
2025-09-27,C011,L011,5924,5245,518,4727,1197,0,current,20.21,Current,Low
2025-09-28,C011,L011,5924,5245,518,4727,1197,1,late,20.21,1–30 DPD,Low
2025-09-29,C011,L011,5924,5598,553,5045,879,0,current,14.84,Current,Low
2025-09-30,C011,L011,5924,5775,570,5205,719,0,current,12.14,Current,Low
2025-10-01,C011,L011,5924,5953,587,5366,558,0,current,9.42,Current,Low
2025-10-02,C011,L011,5924,6349,626,5723,201,0,current,3.39,Current,Low
2025-10-03,C011,L011,5924,6829,674,6155,0,0,current,0,Current,Low
2025-10-04,C011,L011,5924,6829,674,6155,0,1,late,0,1–30 DPD,Low
2025-10-05,C011,L011,5924,6829,674,6155,0,2,late,0,1–30 DPD,Low
2025-10-06,C011,L011,5924,7238,714,6524,0,1,late,0,1–30 DPD,Low
2025-10-07,C011,L011,5924,7591,749,6842,0,0,current,0,Current,Low
2025-10-08,C011,L011,5924,8059,795,7264,0,0,current,0,Current,Low
2025-10-09,C011,L011,5924,8427,831,7596,0,0,current,0,Current,Low
2025-10-10,C011,L011,5924,8427,831,7596,0,1,late,0,1–30 DPD,Low
2025-10-11,C011,L011,5924,8851,873,7978,0,0,current,0,Current,Low
2025-10-12,C011,L011,5924,9145,902,8243,0,0,current,0,Current,Low
2025-10-13,C011,L011,5924,9417,929,8488,0,0,current,0,Current,Low
